  freq              ;  reS11        ; imS11         
   1.87869963586E+04; -0.669093     ; 0.0945347    
   1.88747074920E+04; -0.669043     ; 0.0949803    
   1.89628281237E+04; -0.668965     ; 0.0954859    
   1.90513601656E+04; -0.668978     ; 0.0959059    
   1.91403055383E+04; -0.668859     ; 0.0962331    
   1.92296661716E+04; -0.668826     ; 0.0967786    
   1.93194440042E+04; -0.668754     ; 0.0972212    
   1.94096409840E+04; -0.668177     ; 0.0978158    
   1.95002590678E+04; -0.668159     ; 0.0982276    
   1.95913002216E+04; -0.66809      ; 0.0987253    
   1.96827664206E+04; -0.668099     ; 0.0992162    
   1.97746596492E+04; -0.668023     ; 0.0997424    
   1.98669819012E+04; -0.667957     ; 0.100149     
   1.99597351794E+04; -0.667839     ; 0.100574     
   2.00529214962E+04; -0.670418     ; 0.101756     
   2.01465428734E+04; -0.670235     ; 0.102371     
   2.02406013422E+04; -0.670093     ; 0.102726     
   2.03350989431E+04; -0.670289     ; 0.102955     
   2.04300377265E+04; -0.670023     ; 0.103661     
   2.05254197519E+04; -0.670007     ; 0.104058     
   2.06212470888E+04; -0.669943     ; 0.104582     
   2.07175218163E+04; -0.669839     ; 0.105069     
   2.08142460231E+04; -0.66986      ; 0.105393     
   2.09114218076E+04; -0.669688     ; 0.106067     
   2.10090512782E+04; -0.669559     ; 0.106563     
   2.11071365529E+04; -0.669488     ; 0.10703      
   2.12056797599E+04; -0.669343     ; 0.107416     
   2.13046830370E+04; -0.669405     ; 0.108038     
   2.14041485322E+04; -0.66948      ; 0.108533     
   2.15040784035E+04; -0.66918      ; 0.108975     
   2.16044748189E+04; -0.669131     ; 0.109561     
   2.17053399565E+04; -0.669087     ; 0.109984     
   2.18066760047E+04; -0.668734     ; 0.110663     
   2.19084851621E+04; -0.66869      ; 0.111181     
   2.20107696374E+04; -0.668813     ; 0.111494     
   2.21135316497E+04; -0.668751     ; 0.112107     
   2.22167734287E+04; -0.668606     ; 0.112661     
   2.23204972141E+04; -0.668613     ; 0.113243     
   2.24247052562E+04; -0.66854      ; 0.113689     
   2.25293998161E+04; -0.66842      ; 0.114271     
   2.26345831650E+04; -0.668404     ; 0.114849     
   2.27402575850E+04; -0.668422     ; 0.115369     
   2.28464253688E+04; -0.668214     ; 0.115928     
   2.29530888197E+04; -0.668211     ; 0.116524     
   2.30602502519E+04; -0.668033     ; 0.11701      
   2.31679119902E+04; -0.667937     ; 0.117639     
   2.32760763706E+04; -0.667865     ; 0.11815      
   2.33847457396E+04; -0.66786      ; 0.118704     
   2.34939224549E+04; -0.667641     ; 0.119201     
   2.36036088852E+04; -0.667576     ; 0.119792     
   2.37138074102E+04; -0.667545     ; 0.120411     
   2.38245204208E+04; -0.667316     ; 0.120944     
   2.39357503188E+04; -0.667162     ; 0.12159      
   2.40474995175E+04; -0.667041     ; 0.122185     
   2.41597704414E+04; -0.666919     ; 0.122795     
   2.42725655263E+04; -0.666903     ; 0.123369     
   2.43858872193E+04; -0.666631     ; 0.123613     
   2.44997379790E+04; -0.6664       ; 0.124303     
   2.46141202754E+04; -0.66609      ; 0.124983     
   2.47290365902E+04; -0.66577      ; 0.125467     
   2.48444894165E+04; -0.665743     ; 0.126246     
   2.49604812592E+04; -0.665756     ; 0.126786     
   2.50770146347E+04; -0.665915     ; 0.127404     
   2.51940920714E+04; -0.665829     ; 0.128017     
   2.53117161092E+04; -0.665772     ; 0.128607     
   2.54298893002E+04; -0.665617     ; 0.129215     
   2.55486142082E+04; -0.665498     ; 0.129795     
   2.56678934089E+04; -0.66537      ; 0.13067      
   2.57877294902E+04; -0.665385     ; 0.1311       
   2.59081250521E+04; -0.665799     ; 0.131665     
   2.60290827065E+04; -0.665166     ; 0.132331     
   2.61506050777E+04; -0.665045     ; 0.132939     
   2.62726948023E+04; -0.664859     ; 0.133548     
   2.63953545290E+04; -0.664845     ; 0.134147     
   2.65185869190E+04; -0.664743     ; 0.134848     
   2.66423946460E+04; -0.664483     ; 0.135521     
   2.67667803959E+04; -0.664378     ; 0.136141     
   2.68917468675E+04; -0.664814     ; 0.136849     
   2.70172967719E+04; -0.664231     ; 0.137472     
   2.71434328331E+04; -0.664086     ; 0.138116     
   2.72701577876E+04; -0.664111     ; 0.138661     
   2.73974743848E+04; -0.663926     ; 0.139511     
   2.75253853869E+04; -0.664471     ; 0.139898     
   2.76538935691E+04; -0.664071     ; 0.140631     
   2.77830017193E+04; -0.663971     ; 0.141381     
   2.79127126387E+04; -0.663142     ; 0.142026     
   2.80430291415E+04; -0.663689     ; 0.142729     
   2.81739540548E+04; -0.662938     ; 0.143358     
   2.83054902193E+04; -0.662871     ; 0.144181     
   2.84376404886E+04; -0.662737     ; 0.144698     
   2.85704077300E+04; -0.662561     ; 0.145521     
   2.87037948237E+04; -0.663107     ; 0.146106     
   2.88378046638E+04; -0.66274      ; 0.146779     
   2.89724401576E+04; -0.6621       ; 0.147397     
